"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"99990406@OBS","https://observation.org/observation/99990406","OBS.99990406","HumanObservation","Observations","Euphrasia stricta s.l.","multispecies","Plantae","OROBANCHACEAE","Plantae|OROBANCHACEAE","Rigid Eyebright s.l.",NA,1,"flowering","undetermined",13.4534956461,47.7380403394,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Wolfgangsee",NA,NA,NA,2014-08-24,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99990406","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-15
"99988122@OBS","https://observation.org/observation/99988122","OBS.99988122","HumanObservation","Observations","Euphrasia salisburgensis","species","Plantae","OROBANCHACEAE","Plantae|OROBANCHACEAE","Irish Eyebright",NA,1,"unknown","undetermined",13.4973195061,47.5306694271,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Gosausee",NA,NA,NA,2014-08-28,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99988122","Stichting Natuurinformatie","CC BY-NC 4.0",2020-01-30
"99982892@OBS","https://observation.org/observation/99982892","OBS.99982892","HumanObservation","Observations","Aiolopus strepens","species","Animalia","SHORTHORNED_GRASSHOPPERS_ACRIDIDAE","Animalia|SHORTHORNED_GRASSHOPPERS_ACRIDIDAE",NA,NA,7,"imago","undetermined",15.4536688319,46.7057764202,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Steiermark",NA,NA,NA,2015-03-08,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99982892","Stichting Natuurinformatie","CC BY-NC 4.0",2018-10-11
"99970859@OBS","https://observation.org/observation/99970859","OBS.99970859","HumanObservation","Observations","Volucella pellucens","species","Animalia","HOVER_FLIES_OR_FLOWER_FLIES_SYRPHIDAE","Animalia|HOVER_FLIES_OR_FLOWER_FLIES_SYRPHIDAE",NA,NA,1,"imago","undetermined",13.7216521733,47.5649405982,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Hallstattersee",NA,NA,NA,2014-08-26,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99970859","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-02
"98633606@OBS","https://observation.org/observation/98633606","OBS.98633606","HumanObservation","Observations","Hepatica nobilis","species","Plantae","RANUNCULACEAE","Plantae|RANUNCULACEAE","Liverleaf",NA,1,"unknown","undetermined",9.79190826416,47.1376581884,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Vorarlberg",NA,NA,NA,2005-08-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98633606","Stichting Natuurinformatie","CC BY-NC 4.0",2020-02-05
"98601228@OBS","https://observation.org/observation/98601228","OBS.98601228","HumanObservation","Observations","Emberiza citrinella","species","Animalia","BUNTINGS_EMBERIZIDAE","Animalia|BUNTINGS_EMBERIZIDAE","Yellowhammer",NA,1,"unknown","undetermined",12.0532866666667,47.456215,"WGS84",NA,25,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2015-03-10,15:53:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98601228","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-12
"98601225@OBS","https://observation.org/observation/98601225","OBS.98601225","HumanObservation","Observations","Fringilla coelebs","species","Animalia","FINCHES_FRINGILLIDAE","Animalia|FINCHES_FRINGILLIDAE","Common Chaffinch",NA,1,"unknown","undetermined",12.0584433333333,47.44976,"WGS84",NA,25,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2015-03-10,16:30:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98601225","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-12
"98601224@OBS","https://observation.org/observation/98601224","OBS.98601224","HumanObservation","Observations","Motacilla alba","species","Animalia","PIPITS_EN_WAGTAILS_MOTACILLIDAE","Animalia|PIPITS_EN_WAGTAILS_MOTACILLIDAE","White Wagtail",NA,1,"unknown","undetermined",12.05782,47.4494316666667,"WGS84",NA,25,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2015-03-10,16:32:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98601224","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-10
"98601222@OBS","https://observation.org/observation/98601222","OBS.98601222","HumanObservation","Observations","Emberiza citrinella","species","Animalia","BUNTINGS_EMBERIZIDAE","Animalia|BUNTINGS_EMBERIZIDAE","Yellowhammer",NA,1,"unknown","undetermined",12.0554933333333,47.4492033333333,"WGS84",NA,25,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2015-03-10,16:44:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98601222","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-12
"98601221@OBS","https://observation.org/observation/98601221","OBS.98601221","HumanObservation","Observations","Fringilla coelebs","species","Animalia","FINCHES_FRINGILLIDAE","Animalia|FINCHES_FRINGILLIDAE","Common Chaffinch",NA,1,"unknown","undetermined",12.0554933333333,47.4492033333333,"WGS84",NA,25,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2015-03-10,16:44:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98601221","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-12
