"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"98358827@OBS","https://observation.org/observation/98358827","OBS.98358827","HumanObservation","Observations","Campethera nubica","species","Animalia","WOODPECKERS_PICIDAE","Animalia|WOODPECKERS_PICIDAE","Nubian Woodpecker",NA,1,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358827","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-11
"98358820@OBS","https://observation.org/observation/98358820","OBS.98358820","HumanObservation","Observations","Poicephalus rufiventris","species","Animalia","PARROTS_PSITTACIDAE","Animalia|PARROTS_PSITTACIDAE","Red-bellied parrot",NA,2,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358820","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-11
"98358800@OBS","https://observation.org/observation/98358800","OBS.98358800","HumanObservation","Observations","Acryllium vulturinum","species","Animalia","GUINEAFOWL_NUMIDIDAE","Animalia|GUINEAFOWL_NUMIDIDAE","Vulturine Guineafowl",NA,8,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358800","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-01
"98358798@OBS","https://observation.org/observation/98358798","OBS.98358798","HumanObservation","Observations","Vanellus spinosus","species","Animalia","PLOVERS_CHARADRIIDAE","Animalia|PLOVERS_CHARADRIIDAE","Spur-winged Lapwing",NA,5,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358798","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-01
"98358791@OBS","https://observation.org/observation/98358791","OBS.98358791","HumanObservation","Observations","Numida meleagris","species","Animalia","GUINEAFOWL_NUMIDIDAE","Animalia|GUINEAFOWL_NUMIDIDAE","Helmeted Guineafowl",NA,50,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358791","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-01
"98358789@OBS","https://observation.org/observation/98358789","OBS.98358789","HumanObservation","Observations","Corythaixoides leucogaster","species","Animalia","TURACOS_MUSOPHAGIDAE","Animalia|TURACOS_MUSOPHAGIDAE","White-bellied Go-away-bird",NA,1,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358789","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-01
"98358786@OBS","https://observation.org/observation/98358786","OBS.98358786","HumanObservation","Observations","Columba guinea","species","Animalia","PIGEONS_AND_DOVES_COLUMBIDAE","Animalia|PIGEONS_AND_DOVES_COLUMBIDAE","Speckled Pigeon",NA,1,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358786","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-11
"98358785@OBS","https://observation.org/observation/98358785","OBS.98358785","HumanObservation","Observations","Oena capensis","species","Animalia","PIGEONS_AND_DOVES_COLUMBIDAE","Animalia|PIGEONS_AND_DOVES_COLUMBIDAE","Namaqua Dove",NA,5,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358785","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-01
"98358781@OBS","https://observation.org/observation/98358781","OBS.98358781","HumanObservation","Observations","Ardea melanocephala","species","Animalia","HERONS_ARDEIDAE","Animalia|HERONS_ARDEIDAE","Black-headed Heron",NA,1,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358781","Stichting Natuurinformatie","CC BY-NC 4.0",2017-08-11
"98358777@OBS","https://observation.org/observation/98358777","OBS.98358777","HumanObservation","Observations","Lamprotornis superbus","species","Animalia","STARLINGS_STURNIDAE","Animalia|STARLINGS_STURNIDAE","Superb Starling",NA,25,"unknown","undetermined",37.5830886816,0.557629743029,"WGS84",NA,1000,"Africa","Kenya","KE",NA,"Kenya - Samburu National Reserve",NA,NA,NA,2015-02-20,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98358777","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-01
