"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"99980522@OBS","https://observation.org/observation/99980522","OBS.99980522","HumanObservation","Observations","Hierococcyx varius","species","Animalia","CUCKOOS_AND_COUCALS_CUCULIDAE","Animalia|CUCKOOS_AND_COUCALS_CUCULIDAE","Common Hawk-Cuckoo",NA,2,"unknown","undetermined",84.4955751,27.5744851,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Chitwan NP",NA,NA,NA,2015-03-04,08:02:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99980522","Stichting Natuurinformatie","CC BY-NC 4.0",2016-03-05
"99980325@OBS","https://observation.org/observation/99980325","OBS.99980325","HumanObservation","Observations","Pernis ptilorhynchus","species","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE","Crested Honey Buzzard",NA,1,"unknown","undetermined",84.46612042,27.58336971,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Chitwan NP",NA,NA,NA,2015-03-03,10:17:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99980325","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-16
"98571145@OBS","https://observation.org/observation/98571145","OBS.98571145","HumanObservation","Observations","Psittacula krameri","species","Animalia","PSITTACULIDAE","Animalia|PSITTACULIDAE","Rose-ringed Parakeet",NA,1,"unknown","undetermined",85.31016929,27.71566483,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Kathmandu Valley",NA,NA,NA,2015-03-09,18:11:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98571145","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-09
"98525127@OBS","https://observation.org/observation/98525127","OBS.98525127","HumanObservation","Observations","Copsychus saularis","species","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","Animalia|OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","Oriental Magpie-Robin",NA,1,"unknown","undetermined",85.30936637,27.71521614,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Kathmandu Valley",NA,NA,NA,2015-03-08,17:42:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98525127","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-08
"98525124@OBS","https://observation.org/observation/98525124","OBS.98525124","HumanObservation","Observations","Pycnonotus cafer","species","Animalia","BULBULS_PYCNONOTIDAE","Animalia|BULBULS_PYCNONOTIDAE","Red-vented Bulbul",NA,1,"unknown","undetermined",85.3093624,27.71509526,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Kathmandu Valley",NA,NA,NA,2015-03-08,17:43:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98525124","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-08
"98495044@OBS","https://observation.org/observation/98495044","OBS.98495044","HumanObservation","Observations","Milvus migrans","species","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE","Black Kite",NA,50,"unknown","undetermined",85.30938413,27.71544634,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Kathmandu Valley",NA,NA,NA,2015-03-07,16:18:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98495044","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-07
"98462826@OBS","https://observation.org/observation/98462826","OBS.98462826","HumanObservation","Observations","Coracina macei","species","Animalia","CUCKOOSHRIKES_CAMPEPHAGIDAE","Animalia|CUCKOOSHRIKES_CAMPEPHAGIDAE","Large Cuckooshrike",NA,1,"unknown","undetermined",85.36320586,27.74287503,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Kathmandu Valley",NA,NA,NA,2015-03-06,12:35:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98462826","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-16
"98462825@OBS","https://observation.org/observation/98462825","OBS.98462825","HumanObservation","Observations","Milvus migrans","species","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE","Black Kite",NA,3,"unknown","undetermined",85.36324992,27.74290018,"WGS84",NA,25,"Asia","Nepal","NP",NA,"Nepal - Kathmandu Valley",NA,NA,NA,2015-03-06,12:35:00,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98462825","Stichting Natuurinformatie","CC BY-NC 4.0",2015-03-06
"98457561@OBS","https://observation.org/observation/98457561","OBS.98457561","HumanObservation","Observations","Cecropis daurica","species","Animalia","SWALLOWS_HIRUNDINIDAE","Animalia|SWALLOWS_HIRUNDINIDAE","Red-rumped Swallow",NA,1,"unknown","undetermined",85.5205607414,27.9288912741,"WGS84",NA,1000,"Asia","Nepal","NP",NA,"Nepal - Bagmati",NA,NA,NA,2011-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98457561","Stichting Natuurinformatie","CC BY-NC 4.0",2018-12-14
"98457187@OBS","https://observation.org/observation/98457187","OBS.98457187","HumanObservation","Observations","Halcyon smyrnensis","species","Animalia","KINGFISHERS_ALCEDINIDAE","Animalia|KINGFISHERS_ALCEDINIDAE","White-throated Kingfisher",NA,1,"unknown","undetermined",83.9513987303,28.2186487354,"WGS84",NA,100,"Asia","Nepal","NP",NA,"Nepal - Pokhara",NA,NA,NA,2011-08-04,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98457187","Stichting Natuurinformatie","CC BY-NC 4.0",2018-11-15
"98456249@OBS","https://observation.org/observation/98456249","OBS.98456249","HumanObservation","Observations","Milvus migrans","species","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE","Black Kite",NA,1,"unknown","undetermined",85.361495018,27.7041806009,"WGS84",NA,1000,"Asia","Nepal","NP",NA,"Nepal - Kathmandu Valley",NA,NA,NA,2011-07-14,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.98456249","Stichting Natuurinformatie","CC BY-NC 4.0",2018-11-15
